position,title,snippet,highlighs,link,displayed_link,sitelinks
10,Thai Enquirer,"#Thailand #จุฬาธรรมศาสตร์ #จุฬา #ธรรมศาสตร์. Image. 4:12 AM · Apr 1, 2024. ·. 2,472. Views.",['จุฬา'],https://twitter.com/ThaiEnquirer/status/1774651093353673139,https://twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=th&u=https://twitter.com/ThaiEnquirer/status/1774651093353673139&prev=search&pto=aue'}]}"
11,"Faculty of Medicine, Chulalongkorn U.",#แพทย์จุฬา #คณะแพทย์ #แพทย์อินเตอร์ #จุฬา #cumedi #pr #news.,['จุฬา'],https://twitter.com/prmdcu/status/1453230396905295878,https://twitter.com › prmdcu › status,
12,TCASter,ถึงน้องๆ ที่อยากเข้า #จุฬา . วันนี้พี่ๆ TCASter เอาใจน้อง ที่อยากสมัคร รอบ 3 จุฬาๆ ต้องมีเกรดเท่าไหร่? มาดูกันเลย เช็กข้อมูลได้ที่ http://course.mytcas.com/universities/001…,['จุฬา'],https://twitter.com/TCASterApp/status/1772118715754074351,https://twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=th&u=https://twitter.com/TCASterApp/status/1772118715754074351&prev=search&pto=aue'}]}"
13,"Faculty of Medicine, Chulalongkorn U.",#แพทย์จุฬา #แพทย์อินเตอร์ #จุฬา #cumedi. Translate post.,['จุฬา'],https://twitter.com/prmdcu/status/1316670340836192256,https://twitter.com › prmdcu › status,
14,"Faculty of Medicine, Chulalongkorn U.","... #แพทย์จุฬา #คณะแพทย์ #แพทยศาสตร์ #แพทย์อินเตอร์ #จุฬา #cumedi #medical #medicine #chula #medchula #chulalongkorn. Image. 9:51 AM · Jul 8, 2020.",['จุฬา'],https://twitter.com/prmdcu/status/1280801602526314497,https://twitter.com › prmdcu › status,
15,TCASter,อยากติด #จุฬา ต้องมูที่ไหน✨ . แนะนำที่พระบรมราชานุสาวรีย์สองรัชกาล สถานที่ศักดิ์สิทธิ์ของชาวจุฬา เหมาะกับคนอยากติดจุฬาสุด ๆ . วัยเรียนmujไม่อยากพลาดข่าวสารดี ๆ โหลดแอป ...,,https://twitter.com/TCASterApp/status/1711977426778231192,https://twitter.com › TCASterApp › status,
16,กรรมการนิสิตคณะวิศวกรรมศาสตร์ กวศ.,"... https://bit.ly/cueng66-info 🖥️ สามารถติดตามข่าวสารได้ทาง FB/IG : @escchula · #วิศวจุฬา #วิศวะจุฬา #จุฬา #TCAS66. Image. 2:16 AM · May 20, 2023.",['จุฬา'],https://twitter.com/escchula/status/1659744884407033856,https://twitter.com › escchula › status,
17,"""#NEXKY #CUNEX #CU #จองห้องส่วนกลาง #จุฬา # ...","#NEXKY #CUNEX #CU #จองห้องส่วนกลาง #จุฬา #ส่วนกลาง #Coworkingspace #ห้องสมุด · 12:00 PM · May 4, 2024. ·. 55. Views.",['จุฬา'],https://twitter.com/cu_nex/status/1786727611298889928,https://twitter.com › cu_nex › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=th&u=https://twitter.com/cu_nex/status/1786727611298889928&prev=search&pto=aue'}]}"
18,"""เราจึงลองชวน 'เนติวิทย์ ' นิสิตจุฬาฯ มาสะท้อนมุมมองปรากฏการณ์ ...","... เรามองว่าสถาบันอาชีวะแห่งนี้ต้องย้ายออกไป ด้วยเหตุผลด้านการทะเลาะวิวาทอย่างเดียว เหตุผลนี้หนักแน่นมากเพียงพอหรือยัง? #จุฬา. Translate post. 4:29 AM · Feb 1, 2024. ·. 1,436. Views.",['จุฬา'],https://twitter.com/thairathplus/status/1752912140397384182,https://twitter.com › thairathplus › status,
19,CU NEX,"... ไว้ใช้กันได้ ที่ https://drive.google.com/drive/folders/17nXMXpP8qdTXkrp8lQfK3esHo4dLGuEh… #จุฬา #เรียนออนไลน์. Image. 6:21 AM · Aug 17, 2020 · 1. Repost. 1.",['จุฬา'],https://twitter.com/cu_nex/status/1295244326432157696,https://twitter.com › cu_nex › status,
20,cafetoreador (@cafetoreador1) / X,Cafe Toreador อร่อยครบทั้งเครื่องดื่มและอาหารหลากหลายเมนู มาพร้อมพื้นที่นั่งชิลล์ในบรรยากาศที่ร่มรื่นใจกลาง​ #จุฬาลงกรณ์​ #coffee #cafeToreador #chula #จุฬา #สถาปัตย์จุฬา ...,['จุฬา'],https://twitter.com/cafetoreador1,https://twitter.com › cafetoreador1,
21,"Faculty of Medicine, Chulalongkorn U.","... for more details. #แพทย์จุฬา #คณะแพทย์ #แพทยศาสตร์ #แพทย์อินเตอร์ #จุฬา #cumedi #medical #medicine #chula #medchula. Image. 8:43 AM · Mar 24, 2021.",['จุฬา'],https://twitter.com/prmdcu/status/1374643024852967424,https://twitter.com › prmdcu › status,
22,คณะกรรมการนิสิตคณะนิเทศศาสตร์ จุฬาฯ,"... ถึง 15,000 กันเถอะ ให้การเปลี่ยนแปลงนี้เกิดขึ้นในยุคสมัยของเราทุกคน #จุฬา #นิเทศจุฬา. Translate post. Quote. ภาคีนิสิตจุฬาฯ เพื่อสิทธิและเสรีภาพ.",['จุฬา'],https://twitter.com/knt_nitadechula/status/1725738733365072049,https://twitter.com › knt_nitadechula › status,
23,"Faculty of Medicine, Chulalongkorn U.","... open during 31st January – 23rd February, 2022 by 13:00 #แพทย์จุฬา #แพทย์อินเตอร์ #จุฬา #cumedi #medicine #chula #medchula. Image. 12:19 PM · Sep 18, 2021 · 4.",['จุฬา'],https://twitter.com/prmdcu/status/1439202441652686848,https://twitter.com › prmdcu › status,
24,CU NEX,"... เช็กตารางสอบบ่อย ๆ ด้วยฟีเจอร์ 'ปฏิทิน' และ 'วิชาเรียน' ในแอปฯ CU NEX สะดวกสบายแบบนี้จะสอบวิชาไหน วันไหน ก็ไม่มีคำว่าพลาด #จุฬา. Image. 2:37 PM · Nov 29, 2020.",['จุฬา'],https://twitter.com/cu_nex/status/1333057585033867266,https://twitter.com › cu_nex › status,
25,The Planner Education,"... #TCAS #tcas66 #gatpat #9วิชาสามัญ #ติวสอบเข้า #ติวเข้ามหาลัย #เข้าอินเตอร์ #สอบเข้าคณะอินเตอร์ #จุฬา #อักษรจุฬา. Image. 11:00 AM · Nov 7, 2021 · 3. Reposts. 1.",['จุฬา'],https://twitter.com/theplannertutor/status/1457301804656455683,https://twitter.com › theplannertutor › status,
26,ถ่ายรูปรับปริญญา - #รีวิว - #จุฬาลงกรณ์มหาวิทยาลัย - #นอกรอบ,"""Tomtam "" Are you ready? Special time for you. #twenty2six Line:aui2203 FB:Wittawat Aui #CU #Chula #graduate #คณะสหเวช #นอกรอบจุฬา #จุฬา ...",['จุฬา'],https://twitter.com/Jiranon2261982/status/1355016174229053440,https://twitter.com › Jiranon2261982 › status,
27,MSCU,"Conversation. MSCU · @MatsciCU. TCAS66 จุฬาฯ #TCAS66 #dek66 #tcas #จุฬา #วิทยาจุฬา #วัสดุจุฬา #mstscicu. Image. 9:03 AM · Sep 16, 2022.",['จุฬา'],https://mobile.twitter.com/MatsciCU/status/1570699951755395073,https://mobile.twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=th&u=https://mobile.twitter.com/MatsciCU/status/1570699951755395073&prev=search&pto=aue'}]}"
28,"Faculty of Medicine, Chulalongkorn U.","หลักสูตรแพทย์อินเตอร์ 4 ปี แห่งแรกในไทย "" จบปริญญาตรีสาขาใด ถ้ามีความตั้งใจ ก็เป็นแพทย์ได้ "" #แพทย์จุฬา #คณะแพทย์ #แพทยศาสตร์ #แพทย์อินเตอร์ #จุฬา #cumedi #medical ...",['จุฬา'],https://twitter.com/prmdcu/status/1260127746392330245,https://twitter.com › prmdcu › status,
29,TCASter,"... ที่มา : http://admissions.chula.ac.th/tcas1.html #dek66 #TCAS66 #จุฬา #portfolio. Translate post. Image. 9:55 AM · Sep 21, 2022 · 506. Reposts · 2.",['จุฬา'],https://twitter.com/TCASterApp/status/1572524922945277952,https://twitter.com › TCASterApp › status,
30,The Planner Education,"... SAT https://bit.ly/3g2Ov96 #DEK66 #TCAS66 #TCAS #สอบเข้ามหาลัย #เข้าคณะอินเตอร์ #จุฬา #chula #สอบsat #สอบSAT #ติวSAT. Image. 11:00 AM · Jun 7, 2022 · 1.",['จุฬา'],https://twitter.com/theplannertutor/status/1534128032486653955,https://twitter.com › theplannertutor › status,
31,TAIC Chulalongkorn,Congratulations!!... ขอแสดงความยินดีกับบัณฑิตจุฬาฯ ทุกท่านด้วยนะคะ .... เย้ๆ #CU #Chula #จุฬา #จุฬาลงกรณ์มหาวิทยาลัย #เกียรติภูมิจุฬาฯ #งานพระราชทานปริญญาบัตร ...,['จุฬา'],https://twitter.com/TICchula/status/1179585457128013824,https://twitter.com › TICchula › status,
32,Kenji_Mango,「kimono suizou wo tabetai」 ถ้าแปลตรงก็จะเป็น 「ผม/ดิฉัน อยากกินตับอ่อนของเธอ」   #จุฬา #จุฬาฯ #ไทย #ภาษาไทย #タイ #タイ語 #留学 #留学日記 #チュラ ...,['จุฬา'],https://twitter.com/kenji_mango/status/922148850126569473,https://twitter.com › kenji_mango › status,
33,"""ทำไม #จุฬา ยังไม่เพิกถอนปริญญา ของคนที่ปลอมวิทยานิพนธ์ ...","ทำไม #จุฬา ยังไม่เพิกถอนปริญญา ของคนที่ปลอมวิทยานิพนธ์ เพื่อจบการศึกษา. Translate post. 4:11 AM · Jun 14, 2024. ·. 3,019. Views. 59. Reposts.",['จุฬา'],https://twitter.com/LastIFound/status/1801467542416068654,https://twitter.com › LastIFound › status,
34,CU NEX,⁉️ วันนี้ NEXKY เตรียม Checklist มาให้เพื่อน ๆ ได้ไป check check✔️✔️ ความพร้อมของตัวเองก่อนเปิดเทอมแบบ ปังปุริเย่ http://bit.ly/2EN5lbZ #เปิดเทอม #จุฬา.,['จุฬา'],https://twitter.com/cu_nex/status/1291320993495937025,https://twitter.com › cu_nex › status,
35,ครูสร้อย EasyEng,อยากสอบติด #ebacu #eba #เศรษฐศาสตร์ #จุฬา ต้องดู!! รีวิวการสอบสัมภาษณ์ พร้อมเทคนิคการเตรียมตัวให้สอบติด จากรุ่นพี่คณะตัวจริง พี่อินลี่ รุ่นพี่ EBA CU ...,['จุฬา'],https://twitter.com/EToeic/status/1799274496366637520,https://twitter.com › EToeic › status,
36,The Planner Education,ทำความรู้จักจิตวิทยา อินเตอร์ หลักสูตรเดียวในไทยอย่าง #JIPP ของ #จุฬา ได้ในทวิตนี้เลยค่ะ สมัคร #ติวIELTS http://bit.ly/3AVZOt6 #GED ...,['จุฬา'],https://twitter.com/theplannertutor/status/1684556747732553729,https://twitter.com › theplannertutor › status,
37,Topic Academy,#TCAS #รอบ1 #จุฬา #dek66 ประกาศแล้ว มาเตรียมตัวสอบเข้า #บัญชีจุฬา #บริหารจุฬา 66 กันดีกว่า 1️⃣ SAT ENG (SAT EBRW) ทดลองเรียน http://topiconline.net/courses/sateng 2️⃣ SAT ...,['จุฬา'],https://mobile.twitter.com/Topic2u/status/1572823358349381632,https://mobile.twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=th&u=https://mobile.twitter.com/Topic2u/status/1572823358349381632&prev=search&pto=aue'}]}"
38,Sale Here - อะไรลดเรารู้,#คณะอักษรศาสตร์ #จุฬา เปิดคอร์สสอน 14 ภาษา ช่วงกลางปี บอกเลยว่ามีแต่ภาษาแน่นๆ น่าเรียนเต็มไปหมด เปิดสอนทั้งแบบออนไลน์ และ ที่คณะอักษรเลย ...,['จุฬา'],https://twitter.com/salehere1/status/1653044140131663872,https://twitter.com › salehere1 › status,
39,CU NEX,"... 'เพิ่มเติม' (More) แล้วกด 'สิทธิพิเศษ' (Privileges) จากนั้นเลือก 'สิทธิพิเศษสำหรับนิสิต' (CU Rewards) #โปรดีบอกต่อ #จุฬา. Image. 8:00 AM · Jul 22, 2020 · 5. Reposts.",['จุฬา'],https://twitter.com/cu_nex/status/1285847275558727680,https://twitter.com › cu_nex › status,
40,วุ้นแปลภาษา,"Conversation. วุ้นแปลภาษา · @woonplaepasa · #จุฬา #วุ้นแปลภาษาเดอะซีรีส์. Image. 2:51 PM · Jun 29, 2020 · 50. Reposts · 26. Quotes · 22. Likes. 4. Bookmarks. 4.",['จุฬา'],https://twitter.com/woonplaepasa/status/1277615695568633856,https://twitter.com › woonplaepasa › status,
41,CU NEX,"... เพื่อน ๆ ที่เลือกรูปแบบการชำระแบบหักบัญชีอัตโนมัติอย่าลืมนำเงินเข้าบัญชีภายในระยะเวลาที่กำหนดนี้นะ #จุฬา. Translate post. Image. 11:45 AM · Jan 16, 2021 · 3. Reposts.",['จุฬา'],https://twitter.com/cu_nex/status/1350408727975784454,https://twitter.com › cu_nex › status,
42,TAIC Chulalongkorn,"... ชั้น 6 สำนักงานวิทยทรัพยากร จุฬาลงกรณ์มหาวิทยาลัย #Chula #TAICChula #หอสมุดกลางจุฬา #จุฬา #หนังสือแนะนำ ้้. Image. 10:26 AM · Nov 15, 2019 · 1. Repost · 1.",['จุฬา'],https://twitter.com/ticchula/status/1195286840124665857,https://twitter.com › ticchula › status,
43,"TCASter on X: ""เป้าอักษร จุฬาฯ สอบ PAT7.6 . ...","... ปี 62 รับ 195 ต่ำสุด 21,131.25 *จน.รับ = รับรวมวิชาที่เลือกสอบภาษา . #dek65 #TCAS65 #จุฬา · 8:49 AM · Feb 11, 2022 · 30. Reposts · 29. Likes. 6. Bookmarks.",['จุฬา'],https://twitter.com/TCASterApp/status/1492058179743612928,https://twitter.com › TCASterApp › status,
44,CU NEX,"... , dtac, Azabusabo โปรฯ สุดพิเศษทั้งหมดนี้ กดรับสิทธิ์ได้ที่แอปพลิเคชัน CU NEX 'สิทธิพิเศษสำหรับนิสิต (CU Rewards)' #จุฬา #มิดเทอม. Image. 3:00 AM · Mar 6, 2021.",['จุฬา'],https://twitter.com/cu_nex/status/1368033617486647297,https://twitter.com › cu_nex › status,
45,‍♀️ ไหนใครอยากเข้า #จุฬา ภาคอินเตอร์ ยกมือขึ้นสูงๆ 🤔 แต่ยัง ...,... ‍♀️ ไหนใครอยากเข้า #จุฬา ภาคอินเตอร์ ยกมือขึ้นสูงๆ แต่ยังไม่รู้จะต้องเตรียมตัวอย่างไร และใช้คะแนนอะไรยื่นบ้าง รีบลงทะเบียนกันได้เลยน้า~ ❌ ใกล้ถึงวันงานแล้ว ...,['จุฬา'],https://twitter.com/aims_school/status/1499680774987354115,https://twitter.com › aims_school › status,
46,The Planner Education,วิศวะอินเตอร์น้องใหม่เอี่ยมจากจุฬาฯ เปิดรอแล้วนะ เช็คคะแนนด่วนเลย❗️❗️❗️ #theplanner_sharing #chula #จุฬา #วิศวกรรมศาสตร์ #วิศวะ #ChPE #dek66 #TCAS #tcas65 ...,['จุฬา'],https://twitter.com/theplannertutor/status/1429669731116650499,https://twitter.com › theplannertutor › status,
47,SPORTS SCIENCE CU (@spsc_cu) ...,CU SPORTS SCIENCE #dek64 #spsc24 #วิทย์กีฬาจุฬา #จุฬา #chula. คณะวิทยาศาสตร์การกีฬา spsc ...,['จุฬา'],https://twitter.com/spsc_cu,https://twitter.com › spsc_cu,
48,ทุนต่อนอก & บอกต่อคอร์ส by Dek-D,วันนี้ขอมาแชร์ #คอร์สออนไลน์เรียนฟรี ส่งตรงจาก #จุฬา ภายใต้หลักสูตร “การเรียนรู้สำหรับผู้บริหารหน้าใหม่ ที่จะช่วยให้ก้าวสู่การเป็นผู้บริหารแถวหน้า” (Management for New ...,['จุฬา'],https://twitter.com/tornokandcourse/status/1688157977520320512,https://twitter.com › tornokandcourse › status,
49,CU NEX,"... Bell   อย่ารอช้า! กดรับสิทธิพิเศษก่อนใครได้ที่   'สิทธิพิเศษสำหรับนิสิต/บุคลากร (CU Rewards)' #จุฬา #โปรดีบอกต่อ. Image. 11:20 AM · Jan 18, 2021.",['จุฬา'],https://twitter.com/cu_nex/status/1351127208996327434,https://twitter.com › cu_nex › status,
50,Topic Academy,#dek68 #dek69 สอบติด #จุฬา ง่าย ก่อนใคร ตั้งแต่ #TCAS #รอบ1 ด้วย #cutep #ielts CU-TEP สอบได้ทุกเดือน IELTS สอบได้ทุกวัน คะแนนไปยื่นยกเว้นเรียนอังกฤษในจุฬา ...,['จุฬา'],https://twitter.com/Topic2u/status/1780875213112308164,https://twitter.com › status,
51,CU NEX,"... ๆ ที่หอกลาง หรือ PLARN SPACE ก็สามารถทำได้อย่างง่ายดายผ่านฟีเจอร์จองส่วนกลาง (RESERVATION) ในแอปฯ CU NEX #ไฟนอล #จุฬา. Image. 2:39 PM · Nov 25, 2020. 2. Bookmarks.",['จุฬา'],https://twitter.com/cu_nex/status/1331608487936151553,https://twitter.com › cu_nex › status,
52,อัพเดตค่าเทอม จุฬาฯจ้า ยุคครูไผ่เรียน คณะอักษรศาสตร์เริ่มต้น ...,"อัพเดตค่าเทอม จุฬาฯจ้า ยุคครูไผ่เรียน คณะอักษรศาสตร์เริ่มต้นที่ 12,000 ตอนนี้ตัวเลขจะกลับกันเป็น 21,000 แล้วจ้า #ค่าเทอม #จุฬา #TCAS63. Translate post.",['จุฬา'],https://twitter.com/spanishkrupai/status/1209114845162852353,https://twitter.com › spanishkrupai › status,
53,"Matichon TV on X: ""เปิดใจ ""บัณฑิตสาว"" จาก #อักษรศาสตร์ #จุฬา ผู้ ...","เปิดใจ ""บัณฑิตสาว"" จาก #อักษรศาสตร์ #จุฬา ผู้เลือกประกอบอาชีพ #คนขับแท็กซี่.",,https://twitter.com/MatichonTV/status/1164857911459209217,https://twitter.com › MatichonTV › status,
54,Brandinside,(ต่อ) คอร์สฟรี #จุฬา ภาค 2 วิชา 4 = นำเสนองานอย่างมืออาชีพด้วย Powerpoint วิชา 5 = การบริการต้นทุนฐานกิจกรรม วิชา 6 = การตลาดบริการ รอบนี้รับเยอะขึ้น จากเดิมวิชาละ 500 คนเป็นวิชาละ ...,['จุฬา'],https://mobile.twitter.com/brandinsideasia/status/999189124585144320?lang=eu,https://mobile.twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=th&u=https://mobile.twitter.com/brandinsideasia/status/999189124585144320%3Flang%3Deu&prev=search&pto=aue'}]}"
55,CAMPHUB.in.th,"""Young Leader Scientist Camp "" #ค่ายวิทย์ #จุฬา ค่ายสำหรับน้องม.ปลายสายวิทย์ที่สนใจคณะวิทยาศาสตร์ ค่ายนี้จะพาน้องๆ ไปรู้จักทุกแง่มุมของคณะ ตั้งแต่การเรียน ...",['จุฬา'],https://twitter.com/CAMPHUB/status/1111232466189275139,https://twitter.com › CAMPHUB › status,
56,CAMPHUB.in.th,"""ค่ายลานเกียร์ 19"" #ค่ายวิศวะ #จุฬา น้องม.ปลายที่อยากเข้าวิศวะ ห้ามพลาดค่ายนี้ พี่ๆ วิศวะจุฬาฯ จะพาน้องๆ ไปหาคำตอบว่าวิศวะแต่ละภาคเรียนอะไรผ่านการทำกิจกรรมในค่าย ...",,https://twitter.com/CAMPHUB/status/1179376704562876418,https://twitter.com › CAMPHUB › status,
57,AT HOME,#จุฬา เปิดหลักสูตร #เทคโนโลยีชีวภาพ #นานาชาติ เริ่มปีการศึกษา 2563 เพิ่มเติม http://bbtech.sc.chula.ac.th #athometh #เรียนออนไลน์ใช้athome #TCAS #ONET #GAT ...,['จุฬา'],https://twitter.com/athome_online/status/1197023072345149440,https://twitter.com › athome_online › status,
58,AT HOME,#วิศวะ #จุฬา เปิดค่าย #ลานเกียร์ ชวนน้องๆที่อยากเรียนต่อสาย #วิศวกรรมศาสตร์ มาเรียนรู้ชีวิตการเรียนกันแบบเจาะลึก สมัครได้เลยถึง 20 ตุลานี้เท่านั้น รายละเอียดที่ ...,['จุฬา'],https://twitter.com/athome_online/status/1317799013400281088,https://twitter.com › athome_online › status,
59,AT HOME,#ค่ายลานเกียร์ #วิศวะ #จุฬา เปิดรับสมัครแล้ว เพิ่มเติมที่ https://larngear.com #athometh #เรียนออนไลน์ใช้athome #TCAS #ONET #GAT #9วิชาสามัญ #PAT #dek63 #dek64 ...,['จุฬา'],https://twitter.com/athome_online/status/1177432216613187585,https://twitter.com › athome_online › status,
60,Thai Enquirer,... parades during the annual Chulalongkorn-Thammasat football match this year. #Thailand #จุฬาธรรมศาสตร์ #จุฬา #ธรรมศาสตร์. Image.,['จุฬา'],https://twitter.com/ThaiEnquirer/status/1774650580574912851,https://twitter.com › ThaiEnquirer › status,
61,cu.askreal (@cuaskreal) / X,"... Cu Ask Real เหลือไซส์ L(1), M, S ราคาตอนนี้ 200 บาท ส่งฟรีลทบ. #จุฬา #ทีมจุฬา #ฬ #Chula #cu103 #cufirstdate2019 #cufirstdate #CBAchula #รับน้องก้าวใหม่62.",['จุฬา'],https://twitter.com/cuaskreal,https://twitter.com › cuaskreal,
62,captain bank,#คอนโด #จุฬา #Ashton #AshtonChula #QChula #IdeoQChula #จามจุรีสแควร์ #MRTSamyan #CondoChula #คอนโดจุฬา #Samyan #SamyanMitrtown #สามย่าน #สาม ...,['จุฬา'],https://mobile.twitter.com/captainbank2u/status/1266021841400815616,https://mobile.twitter.com › status,
63,Chemicallme (@Chemicallme04) / X,(ต่อ) รวมเนื้อหาเคมีที่ต้องอ่าน ✌   เพื่อเตรียมสอบคัดเลือกสอวน. ค่าย 1 ปี67 . . #chemicallme #fightalevel #ฝ่าดงเคมี #เคมี #alevel #สายวิทย์ #คณะวิทย์ #จุฬา #เตรียมสอบเคมี #studygram ...,['จุฬา'],https://twitter.com/Chemicallme04,https://twitter.com › Chemicallme04,
64,National Geographic Thailand - NatGeoMagTH,"#จุฬา #มานุษยวิทยา. Translate post. ""จักรกริช สังขมณี"" มานุษยวิทยามหาสมุทร ถอดรหัสมนุษย์ในระบบนิเวศใต้ทะเล - National Geographic... From ...",['จุฬา'],https://twitter.com/NatGeoMagTH/status/1788559144355844371,https://twitter.com › NatGeoMagTH › status,
65,TCASter,"... มิถุนายน 67 (ไม่ค้างคืน) รายละเอียดเพิ่มเติม : https://camphub.in.th/talkkatect-2024/… . #สถาปัตย์ #ลาดกระบัง #ศิลปากร #จุฬา. Image. 5:05 AM · Jun 4, 2024. ·. 1,962.",['จุฬา'],https://twitter.com/TCASterApp/status/1797857059708318015,https://twitter.com › TCASterApp › status,
66,ลอรี่ - พงศ์พล ยอดเมืองเจริญ,"... แสดงพลังให้โลกรู้ ว่าเรายืนหยัดไม่ปล่อยให้ใครบูลลี่สถาบัน #เรารักพระเทพ #ขบวนเสด็จ #จุฬา #ลอรี่พงศ์พล. Translate post. Embedded video. 1:29. 1:47 PM · Feb 15, 2024. ·.",['จุฬา'],https://twitter.com/LoryPongpol/status/1758125972581396724,https://twitter.com › LoryPongpol › status,
67,Pavin,"เสาหลักปักขี้เลน #จุฬา. Translate post. Image. 4:37 AM · Feb 26, 2022 · 9,530. Reposts · 66. Quotes · 4,549. Likes. 17. Bookmarks. 17.",['จุฬา'],https://twitter.com/PavinKyoto/status/1497430532220620803,https://twitter.com › PavinKyoto › status,
68,Sale Here - อะไรลดเรารู้,"... ได้ที่นี่ >> https://buff.ly/4emGBnj #SaleHere #เซลเฮียร์ #คอร์สเรียน #สนทนาภาษาอังกฤษ #คอร์สเรียนจุฬา #จุฬา. Image. 2:40 AM · Jun 17, 2024. ·. 52.6K. Views. 733.",['จุฬา'],https://twitter.com/salehere1/status/1802531619045036502,https://twitter.com › salehere1 › status,
69,CU NEX,#CUNEXPRIVILEGES แอบกระซิบส่งท้ายไว้ด้วยดีกว่า 'สัปดาห์หน้า NEXKY จะมาแจก โค้ด (ไม่) ลับเพิ่มเติมกัน' ถ้าอยากรู้ว่าจะเป็นอะไรก็รอติดตามได้เลย   #จุฬา.,['จุฬา'],https://twitter.com/cu_nex/status/1388455738956075009,https://twitter.com › cu_nex › status,
